bayesCor,utteranceCor,wheelCor,negFacePosWheelBayes,negFacePosWheelFace,negFacePosWheelWheel,posFaceNegWheelBayes,posFaceNegWheelFace,posFaceNegWheelWheel,rmseBayes,rmseFace,rmseWheel,rmseNegFacePosWheelBayes,rmseNegFacePosWheelFace,rmseNegFacePosWheelWheel,rmsePosFaceNegWheelBayes,rmsePosFaceNegWheelFace,rmsePosFaceNegWheelWheel
0.723503779,0.554450815,0.661080068,0.779227934,-0.195681993,0.787202112,0.493937289,0.427773087,0.473859684,1.528855599,1.885108013,1.664210267,1.478016756,3.037843567,1.676006875,1.847302264,2.386466906,1.735997618
0.715612283,0.550241192,0.671520828,0.810765814,-0.114607268,0.789810808,0.506895614,0.336518568,0.515716936,1.536142336,1.877572001,1.598620294,1.315148901,2.781795932,1.552556478,1.893354505,2.630696042,1.699026106
0.726410453,0.537945558,0.69207607,0.831163596,-0.195809991,0.817527068,0.419921664,0.296597985,0.571545479,1.517027514,1.896923184,1.56389044,1.375041501,2.982674768,1.498696903,1.969220902,2.588696861,1.606827081
0.738036497,0.567768657,0.672553389,0.83521586,-0.22466087,0.818274353,0.469593839,0.320781317,0.497253675,1.460456841,1.84175592,1.585730541,1.196969086,2.913580669,1.461999551,1.922864129,2.666254992,1.766975025
0.74539014,0.611252328,0.665368808,0.824198372,0.094861127,0.755382544,0.571795544,0.497332316,0.368648418,1.457383725,1.744686867,1.602036878,1.276339756,2.509853692,1.732423446,1.657463842,2.335398131,1.662251602
0.746617691,0.538746379,0.687865051,0.82638784,-0.267675749,0.828829796,0.519900995,0.302842324,0.547639285,1.470103036,1.906759103,1.586604884,1.454315667,3.270484335,1.476416172,1.815196663,2.626597032,1.647572281
0.738422175,0.556165449,0.67267114,0.796479016,-0.118159157,0.779507903,0.505447946,0.326176532,0.539587023,1.478977426,1.891196642,1.591526607,1.373252711,2.913516287,1.599593087,1.830654064,2.672464495,1.682168421
0.71889217,0.559975662,0.652461079,0.798236531,-0.161966547,0.814968318,0.462651135,0.432558392,0.337911262,1.514261529,1.860044068,1.652933131,1.49671668,3.145513545,1.577828858,1.884233752,2.403080634,1.966459728
0.731926523,0.575142704,0.663267018,0.776080022,-0.084940031,0.731819668,0.520874692,0.42145986,0.489251794,1.512598795,1.825976938,1.647171469,1.487016641,2.758208817,1.830097282,1.808792049,2.385961507,1.712586262
0.762378244,0.590836892,0.696900346,0.78902282,-0.117183376,0.772361436,0.620322254,0.440338775,0.60636545,1.422399614,1.8169043,1.567394186,1.458148951,2.919698789,1.704496494,1.622820562,2.433714051,1.561709087
0.694749707,0.553474838,0.622739198,0.74412831,-0.125460146,0.735285309,0.388675008,0.374950728,0.328818878,1.577692489,1.840017736,1.734591477,1.572491238,2.843179636,1.812273202,2.061807117,2.434663183,2.032458302
0.746463273,0.575089686,0.675313976,0.843393065,-0.1842522,0.823416462,0.535509961,0.34812744,0.52196408,1.447035168,1.840994242,1.595988572,1.143412172,2.898825039,1.504326362,1.800716301,2.634900973,1.703459768
0.725523068,0.562531373,0.658185395,0.780631638,-0.208469511,0.770987932,0.460837404,0.324002817,0.456452128,1.519997136,1.847551781,1.683871748,1.422207999,2.961667314,1.724641344,1.885785336,2.592134365,1.819136724
0.701682518,0.565738407,0.645300476,0.697602037,-0.200506524,0.711384701,0.529112699,0.394158869,0.535322571,1.597137297,1.874729189,1.685620357,1.578752961,2.804951366,1.884979409,1.721836514,2.540831964,1.632931763
0.752885029,0.589098797,0.662170707,0.820894699,-0.210912962,0.804406265,0.552837917,0.465681802,0.424889826,1.43160895,1.823630553,1.637011459,1.305383212,3.024720903,1.546971714,1.755767128,2.374880654,1.934767159
0.763466101,0.597447402,0.675917051,0.805742684,-0.188428443,0.807574989,0.49561103,0.341916215,0.448863541,1.388950899,1.773068965,1.586225348,1.303849877,2.840461916,1.533157563,1.832320123,2.594066691,1.789035828
0.669141218,0.551609984,0.601064409,0.769106242,-0.104537187,0.760916122,0.442593364,0.462630637,0.373338229,1.658049822,1.847171262,1.771559764,1.470532483,2.719891226,1.675447165,2.076270948,2.344041973,2.070291995
0.720032564,0.571529551,0.679025995,0.777108948,-0.103642048,0.780934011,0.532119476,0.454402957,0.514056806,1.508745661,1.806156821,1.598150897,1.472490848,2.903576186,1.644988751,1.735213286,2.195027693,1.615988589
0.710297817,0.572641641,0.644327579,0.760102615,-0.078949219,0.710106496,0.467474201,0.448616799,0.459118547,1.53890947,1.833358406,1.693212949,1.455072765,2.762327878,1.873833634,1.92573914,2.348115844,1.899008218
0.750174224,0.581923927,0.67306044,0.850256438,-0.175571249,0.827966367,0.554875577,0.394495932,0.548822837,1.445021358,1.820410472,1.585572459,1.246240003,2.966190527,1.451596068,1.71694577,2.560428237,1.621324032
0.721701842,0.598147681,0.637236806,0.745662722,-0.076155483,0.712366682,0.563669635,0.472292263,0.421618056,1.534590162,1.829261702,1.714780848,1.487987107,2.814818341,1.838745485,1.792412136,2.471407043,2.081009527
0.737955441,0.590801874,0.681764249,0.760850583,-0.073478727,0.78386843,0.537702049,0.459051932,0.445125362,1.520069473,1.855191638,1.611016406,1.552822035,2.939751655,1.622615828,1.862261283,2.471260034,2.010213953
0.732806911,0.545978968,0.681454737,0.785327266,-0.168249844,0.772164956,0.503397604,0.319509476,0.494641795,1.438890331,1.841505325,1.523288725,1.482416248,2.927406792,1.609066984,1.715901515,2.58677402,1.673441784
0.73241136,0.587931898,0.65824046,0.75471503,-0.157780681,0.752546667,0.566978899,0.480634347,0.409736576,1.464749117,1.7770666,1.618386868,1.496892791,2.865780883,1.726166607,1.636888861,2.302323759,1.878653311
0.719499946,0.53651455,0.680231004,0.819444747,-0.208285956,0.802982939,0.436988037,0.327449031,0.542498757,1.522803621,1.889701714,1.59137407,1.364772156,2.995717951,1.559601605,2.011401841,2.644970816,1.754274659
0.750491571,0.580989914,0.705380423,0.814399731,-0.096760517,0.803514766,0.449184575,0.375518393,0.413572945,1.440193932,1.809358549,1.533478051,1.380707609,2.850702487,1.535176071,1.940376929,2.537257467,1.951518842
0.76443566,0.586658704,0.694899528,0.79942225,-0.128981142,0.800051251,0.558949026,0.356742447,0.502093148,1.398195796,1.798997102,1.549332013,1.451249303,2.888663129,1.571613346,1.653699835,2.528341797,1.66234311
0.719544494,0.517984026,0.674571287,0.81333322,-0.321887766,0.842504872,0.440253177,0.325867052,0.47986127,1.531203923,1.961746255,1.590111857,1.496135143,3.405599327,1.417914195,1.90156172,2.568057666,1.749430213
0.707509939,0.529181646,0.665630503,0.841110324,-0.258689579,0.856606435,0.280763575,0.31368684,0.367620202,1.565572559,1.929704013,1.631794369,1.369622947,3.261041907,1.380774578,2.084620399,2.623884757,1.812958093
0.743912257,0.570220203,0.700763892,0.800446225,-0.125391521,0.798988607,0.521714315,0.361231718,0.558550055,1.476969237,1.844884758,1.572004107,1.415357935,2.896575602,1.649159668,1.68394925,2.48071864,1.563766604
0.726740944,0.596720601,0.648826057,0.764326227,-0.099674931,0.734560726,0.48454544,0.375606823,0.583124719,1.53465874,1.800336492,1.714318306,1.481555838,2.862688637,1.828685068,1.882483533,2.476901123,1.592631306
0.763703112,0.615287521,0.669904955,0.786739242,-0.051039672,0.761973901,0.556171433,0.402824759,0.487063399,1.454107595,1.802969095,1.651818551,1.382795476,2.63957222,1.727494212,1.699091664,2.546958237,1.678321102
0.680117574,0.557370568,0.622367069,0.712335726,-0.181221845,0.7580518,0.349144196,0.403671332,0.38166678,1.596804829,1.828341868,1.698063508,1.563236904,2.886969598,1.728296002,1.977944198,2.374967134,1.832714661
0.735312929,0.582106671,0.663742892,0.753001224,-0.05094843,0.715129811,0.545161451,0.43149342,0.527286834,1.498777649,1.819572753,1.630675044,1.418632926,2.570811665,1.873993603,1.778294512,2.487548351,1.716259311
