"workerid","IRIPT","IRIEC","ERQApp","ERQSupp","LSAS","spinnerID","payoff1","payoff2","payoff3","prob1","prob2","prob3","win","winProb","angleProp","reactionTime","utteranceID","occludeUtterance","occludeWheel","happy","sad","anger","surprise","disgust","fear","content","disapp","EV","PE","absPE"
96,12,13,22,10,5,41,0,40,95,0.27,0.4,0.33,40,0.4,0.703,17505,1,0,0,7,2,1,1,1,1,1,5,47.35,-7.35,7.35
48,18,20,17,9,7,1,0,30,60,0.38,0.36,0.26,0,0.38,0.039,18910,4,0,1,7,1,1,9,1,1,8,1,26.4,-26.4,26.4
52,17,17,24,15,10,41,0,40,95,0.27,0.4,0.33,40,0.4,0.266,21222,8,1,0,7,1,1,5,1,1,7,3,47.35,-7.35,7.35
123,20,20,16,13,18,49,50,75,90,0.3,0.52,0.18,50,0.3,0.967,49907,9,0,1,3,5,4,1,1,1,4,6,70.2,-20.2,20.2
63,15,16,19,16,5,47,55,70,85,0.28,0.51,0.21,70,0.51,0.964,33281,4,0,0,8,1,1,3,1,1,8,2,68.95,1.05,1.05
136,14,16,21,12,7,47,55,70,85,0.28,0.51,0.21,70,0.51,0.31,25091,5,0,0,7,3,2,6,3,2,7,4,68.95,1.05,1.05
46,4,4,20,8,13,12,20,45,70,0.4,0.34,0.26,70,0.26,0.4,29309,8,0,0,9,1,1,9,1,1,9,1,41.5,28.5,28.5
118,6,11,23,21,10,14,30,50,95,0.33,0.29,0.38,50,0.29,0.844,19079,9,1,0,5,4,4,4,1,1,7,5,60.5,-10.5,10.5
4,19,19,17,13,3,1,0,30,60,0.38,0.36,0.26,0,0.38,0.529,25933,3,1,0,1,7,7,8,5,3,2,8,26.4,-26.4,26.4
89,18,20,21,9,8,49,50,75,90,0.3,0.52,0.18,50,0.3,0.259,25806,10,0,1,1,8,5,4,6,1,1,8,70.2,-20.2,20.2
42,16,20,20,10,11,12,20,45,70,0.4,0.34,0.26,70,0.26,0.732,29328,9,1,0,9,1,1,7,1,1,9,1,41.5,28.5,28.5
