"workerid","spinnerID","payoff1","payoff2","payoff3","prob1","prob2","prob3","win","winProb","angleProp","happy","sad","anger","surprise","disgust","fear","content","disapp"
92,30,40,65,100,0.37,0.32,0.31,100,0.31,0.859,9,1,1,9,1,1,7,1
62,44,10,50,75,0.58,0.24,0.18,50,0.24,0.471,6,3,3,5,2,4,5,3
35,21,25,45,80,0.3,0.3,0.4,80,0.4,0.135,9,1,1,6,1,1,9,1
18,20,25,45,80,0.26,0.32,0.42,45,0.32,0.139,6,1,1,3,1,1,6,2
68,41,0,40,95,0.27,0.4,0.33,40,0.4,0.525,6,2,2,6,2,5,5,2
27,9,15,70,80,0.45,0.29,0.26,80,0.26,0.32,9,1,1,9,1,1,9,1
80,36,30,50,90,0.39,0.25,0.36,90,0.36,0.507,7,1,1,3,1,1,7,1
14,40,0,40,95,0.27,0.38,0.35,0,0.27,0.954,1,7,5,1,2,1,1,9
87,15,30,50,95,0.3,0.3,0.4,95,0.4,0.051,9,1,1,9,1,1,9,1
83,50,50,75,90,0.32,0.5,0.18,75,0.5,0.131,6,2,1,4,1,1,5,5
59,39,20,50,90,0.32,0.18,0.5,90,0.5,0.044,9,1,1,7,1,1,8,1
10,47,55,70,85,0.28,0.51,0.21,70,0.51,0.876,6,1,1,1,1,1,3,3
69,11,20,45,70,0.41,0.35,0.24,45,0.35,0.081,5,2,1,4,1,1,1,2
24,27,15,50,75,0.25,0.38,0.37,75,0.37,0.273,9,1,1,9,1,1,1,1
79,27,15,50,75,0.25,0.38,0.37,75,0.37,0.332,9,1,1,6,1,1,1,1
73,24,20,60,90,0.33,0.2,0.47,90,0.47,0.678,7,1,1,3,1,1,9,1
54,47,55,70,85,0.28,0.51,0.21,70,0.51,0.632,7,1,1,1,1,1,7,2
75,45,10,50,75,0.6,0.24,0.16,75,0.16,0.035,9,1,1,8,1,1,9,1
52,10,20,45,70,0.43,0.39,0.18,20,0.43,0.261,4,5,3,6,1,1,4,8
66,11,20,45,70,0.41,0.35,0.24,45,0.35,0.228,6,1,1,4,1,1,3,6
5,17,25,60,100,0.42,0.38,0.2,60,0.38,0.766,7,1,1,1,1,1,1,1
48,37,20,50,90,0.28,0.19,0.53,20,0.28,0.197,2,7,7,8,7,3,7,8
57,40,0,40,95,0.27,0.38,0.35,0,0.27,0.462,1,9,7,8,8,2,2,9
19,21,25,45,80,0.3,0.3,0.4,80,0.4,0.276,8,1,1,8,1,1,8,1
51,30,40,65,100,0.37,0.32,0.31,100,0.31,0.767,9,1,1,8,1,2,9,1
55,18,25,60,100,0.43,0.35,0.22,100,0.22,0.252,9,9,9,9,5,2,2,2
86,47,55,70,85,0.28,0.51,0.21,70,0.51,0.984,6,6,5,5,1,1,6,6
85,23,20,60,90,0.34,0.22,0.44,60,0.22,0.147,9,1,1,8,1,1,8,1
45,12,20,45,70,0.4,0.34,0.26,70,0.26,0.943,8,1,1,9,1,1,5,1
8,28,40,65,100,0.36,0.4,0.24,40,0.36,0.106,6,4,2,3,6,1,5,7
4,1,0,30,60,0.38,0.36,0.26,0,0.38,0.982,1,9,6,5,7,1,1,9
82,23,20,60,90,0.34,0.22,0.44,60,0.22,0.564,6,1,2,4,1,1,6,4
28,9,15,70,80,0.45,0.29,0.26,80,0.26,0.83,7,1,1,6,1,1,1,1
20,37,20,50,90,0.28,0.19,0.53,20,0.28,0.125,3,6,6,8,7,1,3,7
38,15,30,50,95,0.3,0.3,0.4,95,0.4,0.75,9,1,1,9,1,1,9,1
11,43,10,50,75,0.55,0.28,0.17,10,0.55,0.129,5,2,2,5,1,1,5,8
60,21,25,45,80,0.3,0.3,0.4,80,0.4,0.867,7,2,2,8,3,3,8,2
100,47,55,70,85,0.28,0.51,0.21,70,0.51,0.325,7,1,1,8,1,1,7,2
47,28,40,65,100,0.36,0.4,0.24,40,0.36,0.942,9,1,1,9,1,1,5,1
1,34,30,50,90,0.43,0.23,0.34,30,0.43,0.647,5,5,4,5,3,2,4,7
39,22,20,60,90,0.32,0.16,0.52,20,0.32,0.32,3,6,5,6,3,1,3,8
23,3,0,30,60,0.41,0.37,0.22,60,0.22,0.564,9,1,1,6,1,1,7,1
