"workerid","IRIPT","IRIEC","ERQApp","ERQSupp","LSAS","spinnerID","payoff1","payoff2","payoff3","prob1","prob2","prob3","win","winProb","angleProp","reactionTime","faceID","faceValence","faceArousal","occludeFace","occludeWheel","happy","sad","anger","surprise","disgust","fear","content","disapp","EV","PE","absPE"
159,19,20,28,11,0,16,25,60,100,0.45,0.37,0.18,25,0.45,0.076,20588,35,3,4,0,1,9,1,1,9,1,1,9,1,51.45,-26.45,26.45
337,19,15,22,17,10,24,20,60,90,0.33,0.2,0.47,90,0.47,0.254,17573,29,-3,4,0,1,1,1,7,5,5,1,1,7,60.9,29.1,29.1
403,16,17,24,22,11,32,45,60,90,0.52,0.29,0.19,60,0.29,0.171,45262,32,0,4,0,0,7,3,1,7,1,1,4,5,57.9,2.1,2.1
110,16,19,19,13,7,24,20,60,90,0.33,0.2,0.47,90,0.47,0.691,29381,4,0,0,0,1,4,2,1,4,1,1,4,2,60.9,29.1,29.1
303,20,19,27,6,10,47,55,70,85,0.28,0.51,0.21,70,0.51,0.281,18526,35,3,4,0,0,9,1,1,9,1,1,9,1,68.95,1.05,1.05
216,14,13,20,20,3,9,15,70,80,0.45,0.29,0.26,80,0.26,0.041,27996,35,3,4,1,0,8,1,1,6,1,1,6,1,47.85,32.15,32.15
104,14,12,17,14,12,16,25,60,100,0.45,0.37,0.18,25,0.45,0.078,33258,35,3,4,1,0,3,5,5,1,5,3,2,4,51.45,-26.45,26.45
252,15,19,21,19,9,47,55,70,85,0.28,0.51,0.21,70,0.51,0.367,10181,35,3,4,0,1,8,1,1,6,1,1,8,3,68.95,1.05,1.05
83,13,14,22,11,9,47,55,70,85,0.28,0.51,0.21,70,0.51,0.896,42531,7,3,0,1,0,5,2,1,4,2,2,5,4,68.95,1.05,1.05
123,15,14,17,18,6,41,0,40,95,0.27,0.4,0.33,40,0.4,0.823,9788,32,0,4,1,0,5,4,5,5,5,5,5,4,47.35,-7.35,7.35
465,17,18,28,10,14,1,0,30,60,0.38,0.36,0.26,0,0.38,0.221,54895,29,-3,4,1,0,1,9,3,6,4,3,1,9,26.4,-26.4,26.4
302,19,12,22,26,7,1,0,30,60,0.38,0.36,0.26,0,0.38,0.402,19345,1,-3,0,0,1,1,7,6,3,1,1,1,6,26.4,-26.4,26.4
274,12,10,21,21,13,24,20,60,90,0.33,0.2,0.47,90,0.47,0.753,14514,4,0,0,1,0,6,2,2,3,1,1,7,3,60.9,29.1,29.1
234,15,16,22,9,11,32,45,60,90,0.52,0.29,0.19,60,0.29,0.097,17258,32,0,4,1,0,8,1,1,6,1,1,6,1,57.9,2.1,2.1
79,12,17,18,6,0,47,55,70,85,0.28,0.51,0.21,70,0.51,0.054,40091,29,-3,4,1,0,5,1,1,1,1,1,3,4,68.95,1.05,1.05
386,13,14,25,23,8,24,20,60,90,0.33,0.2,0.47,90,0.47,0.507,15516,32,0,4,1,0,9,1,1,9,1,1,9,1,60.9,29.1,29.1
171,13,12,17,18,5,47,55,70,85,0.28,0.51,0.21,70,0.51,0.181,23647,29,-3,4,0,0,1,2,2,3,4,1,3,3,68.95,1.05,1.05
391,14,14,18,18,7,32,45,60,90,0.52,0.29,0.19,60,0.29,0.543,14147,35,3,4,0,0,6,1,1,1,1,1,5,1,57.9,2.1,2.1
271,14,13,23,15,4,1,0,30,60,0.38,0.36,0.26,0,0.38,0.795,17028,4,0,0,1,0,1,8,7,4,7,1,2,7,26.4,-26.4,26.4
82,16,15,16,12,9,1,0,30,60,0.38,0.36,0.26,0,0.38,0.963,16200,32,0,4,0,0,1,7,3,9,3,1,2,7,26.4,-26.4,26.4
400,18,15,15,12,6,32,45,60,90,0.52,0.29,0.19,60,0.29,0.2,21452,35,3,4,1,0,6,2,1,4,1,1,5,2,57.9,2.1,2.1
358,13,16,20,14,8,12,20,45,70,0.4,0.34,0.26,70,0.26,0.495,32917,32,0,4,0,1,2,2,2,3,2,2,1,9,41.5,28.5,28.5
246,12,9,12,17,6,49,50,75,90,0.3,0.52,0.18,50,0.3,0.866,24483,32,0,4,0,1,6,2,1,8,1,1,5,2,70.2,-20.2,20.2
327,12,15,21,24,7,41,0,40,95,0.27,0.4,0.33,40,0.4,0.05,20311,4,0,0,0,0,6,6,6,6,6,6,6,6,47.35,-7.35,7.35
10,20,19,24,8,6,47,55,70,85,0.28,0.51,0.21,70,0.51,0.698,21943,1,-3,0,0,0,3,1,1,1,1,1,6,1,68.95,1.05,1.05
338,16,20,21,15,8,32,45,60,90,0.52,0.29,0.19,60,0.29,0.349,19791,35,3,4,0,0,9,1,1,7,1,1,9,1,57.9,2.1,2.1
461,17,11,15,19,3,1,0,30,60,0.38,0.36,0.26,0,0.38,0.531,14422,1,-3,0,1,0,1,1,7,6,7,4,1,8,26.4,-26.4,26.4
309,14,20,25,9,3,47,55,70,85,0.28,0.51,0.21,70,0.51,0.244,14603,7,3,0,0,1,9,1,1,6,1,1,1,1,68.95,1.05,1.05
180,9,9,16,15,12,12,20,45,70,0.4,0.34,0.26,70,0.26,0.639,14269,7,3,0,1,0,8,1,1,6,1,1,6,1,41.5,28.5,28.5
397,17,17,25,24,13,16,25,60,100,0.45,0.37,0.18,25,0.45,0.144,13653,4,0,0,0,0,2,1,4,2,2,1,6,3,51.45,-26.45,26.45
124,18,20,22,14,3,24,20,60,90,0.33,0.2,0.47,90,0.47,0.878,22947,32,0,4,0,0,8,1,1,9,1,1,8,1,60.9,29.1,29.1
215,15,16,19,18,9,49,50,75,90,0.3,0.52,0.18,50,0.3,0.817,33889,1,-3,0,0,0,4,2,5,1,4,1,2,8,70.2,-20.2,20.2
395,13,16,22,15,8,41,0,40,95,0.27,0.4,0.33,40,0.4,0.85,20727,35,3,4,0,0,9,1,1,3,1,1,9,1,47.35,-7.35,7.35
336,12,13,17,16,10,12,20,45,70,0.4,0.34,0.26,70,0.26,0.094,12567,7,3,0,1,0,9,1,1,5,1,1,9,1,41.5,28.5,28.5
282,7,16,12,12,13,1,0,30,60,0.38,0.36,0.26,0,0.38,0.312,32256,1,-3,0,1,0,1,9,8,6,9,1,1,9,26.4,-26.4,26.4
416,14,15,23,13,6,32,45,60,90,0.52,0.29,0.19,60,0.29,0.849,21169,4,0,0,1,0,5,2,1,2,1,1,7,3,57.9,2.1,2.1
254,15,13,27,9,7,24,20,60,90,0.33,0.2,0.47,90,0.47,0.716,38623,29,-3,4,0,0,1,1,6,1,1,1,1,1,60.9,29.1,29.1
448,13,12,20,17,6,49,50,75,90,0.3,0.52,0.18,50,0.3,0.648,17323,1,-3,0,1,0,6,3,3,5,3,3,3,3,70.2,-20.2,20.2
105,19,20,9,19,5,47,55,70,85,0.28,0.51,0.21,70,0.51,0.245,24080,29,-3,4,0,0,1,1,7,5,4,3,1,3,68.95,1.05,1.05
138,17,19,28,9,2,47,55,70,85,0.28,0.51,0.21,70,0.51,0.79,21286,32,0,4,1,0,6,1,3,4,1,1,5,2,68.95,1.05,1.05
